question;reponse;thematiques
Confiance et sécurité Vérification d’identité Vérification en deux étapes : fonctionnement;"Vérification en deux étapes : fonctionnement
La vérification à deux facteurs ajoute plus de sécurité à ton compte Vinted et à ton argent. Pour renforcer ta protection, nous avons besoin que tu fasses vérifier ton numéro de téléphone.Comment fonctionne la vérification à deux facteursEtape 1 :Tu as besoin de vérifier ton numéro de téléphone une seule fois.Etape 2 :Si nous remarquons une activité inhabituelle sur ton compte, nous t’enverrons un code par SMS. Lorsque tu auras entré ce code sur Vinted, nous serons sûrs que tu es bien la personne qui essaie de se connecter à ton compte, et tu pourras continuer ton activité en toute sécurité.Comment ajouter et vérifier ton numéro de téléphone :Rends toi sur tonprofilClique surMes paramètrespour accéder auxdétails de ton profilRends toi à la sectionVérification téléphoneet clique surVérifierEntre ton numéro de téléphone et clique surEnvoyerTu recevras alors uncode à 6 chiffressur ton téléphone. Entre le dans l’espace prévu à cet effet, et clique surValider.Quelque chose ne s’est pas passé comme prévu ?Voici comment faire sila vérification du numéro de téléphone n'a pas fonctionné.ConfidentialitéNous prenons grand soin de garder ton numéro de téléphone en sécurité, et ne l’utiliserons qu’à des fins de vérifications.Si tu souhaites en savoir plus sur la manière dont nous traitons tes données personnelles, tu peux consulter notrePolitique de confidentialité.Bon à savoirSi tu reçois un code par SMS sur ton téléphone, mais que tu n’as récemment effectué aucun changement sur ton compte Vinted, nous te recommandons de changer ton mot de passe. Tu peux aussi cliquer sur le boutonContacte le supportci-dessous afin que nous puissions vérifier la situation.Nous t’invitons également à vérifier ton adresse e-mail, ettes comptes Facebook et Googlesi ce n’est pas déjà fait.Dans la plupart des cas, il faut seulement quelques étapes pourrésoudre les problèmes de vérification du numéro de téléphone(par exemple, dans le cas d’un changement de numéro de téléphone).";Confiance et sécurité Vérification d’identité
Confiance et sécurité Vérification d’identité Vérification de l'achat;"Vérification de l'achat
Qu'est-ce que c'est ?
En vérifiant ton achat, tu confirmes que c’est vraiment toi qui effectues le paiement. Cela a pour but d’assurer ta sécurité sur Vinted en empêchant que quelqu'un d’autre achète en ton nom.
Comment ça marche ?
Parfois, nous devons ajouter une couche de sécurité à ton achat. Dans ce cas, tu recevras un message dans ta boîte de réception t’invitant à nous faire parvenir l'un des éléments suivants :
Une photo ou une capture d'écran du ou des derniers débit(s) Vinted figurant sur ton relevé bancaire (tu peux flouter les autres détails affichés sur le relevé)Une copie ou une photo de ta pièce d'identité en cours de validité ainsi que de la carte de crédit que tu as utilisée pour tes achats récents sur VintedUn code Vinted unique que tu peux trouver sur ton relevé bancaire près du montant de la charge. C'est un code aléatoire à 4 symboles qui ressemble à ceci: XXXXCODEUne photo ou une capture d'écran de ton compte Paypal
Nous t’indiquerons le type de justificatifs dont nous avons besoin dans le message et te fournirons un lien sécurisé pour nous fournir tes documents.
Remarque : Nous te demandons de faire vérifier ton achat dans les 24 heures suivant notre message, sinon nous n’aurons pas d’autre choix que de suspendre ton compte. Dans certains cas, pour plus de sécurité, il peut arriver que nous suspendions ton compte juste après t’avoir envoyé la demande de vérification d'achat.
Bon à savoir :
Nous nous engageons à protéger tes données selon notrePolitique de confidentialité .Tu peux en apprendre plus sur la vérification d'identité dans nosConditions générales .Si tu as le moindre doute, n’hésite pas à nous contacter en appuyant surContacte le support ci-dessous.";Confiance et sécurité Vérification d’identité
Confiance et sécurité Vérification d’identité Confirme ton identité pour changer ton adresse e-mail;"Confirme ton identité pour changer ton adresse e-mail
Si tu souhaites modifier ton adresse e-mail actuellement enregistrée sur Vinted, à laquelle tu n’as pas accès, tu peux nous demander de la modifier pour toi. Pour vérifier que c'est toi qui nous écris, nous te demandons de nous envoyer une preuve de ton identité. De cette façon, nous pouvons te protéger de tous ceux qui essaient de faire la mise à jour en ton nom.
Comment ça marche ?
Pour confirmer ton identité, merci de nous faire parvenirl'une des preuves suivantes :
Une photo / capture d'écran de ton relevé bancaire montrant tes dernières charges sur Vinted.Un justificatif de domicile : il peut s’agir d’une facture de services publics datant de moins de 3 mois, indiquant ton nom et ton adresse actuelle (par exemple, d’une facture d’essence, d’électricité, d’eau, de téléphone fixe, mais pas d’une facture de téléphone portable), ou d’une photo / capture d’écran de ton relevé bancaire où ton adresse de facturation est visible.Une photo de ta carte de crédit que tu as utilisée pour tes achats sur Vinted (la photo doit présenter le nom complet du titulaire de la carte, les 4 derniers chiffres et la date d'expiration de la carte).
Remarque importante : en communiquant ta preuve d’identité, écris-nous également tanouvelle adresse e-mail.";Confiance et sécurité Vérification d’identité
Confiance et sécurité Vérification d’identité La vérification du numéro de téléphone n’a pas fonctionné;"La vérification du numéro de téléphone n’a pas fonctionné
Il y a plusieurs raisons pour lesquels la vérification du numéro de téléphone peut ne pas fonctionner.
1. Les erreurs de typographie
Vérifie bien que tu as entré le bon numéro de téléphone, ainsi que l’indicatif du pays (sans aucun espace)
2. Le numéro n’est pas valide
Seuls les numéros européens sont considérés comme valides. Les numéros de téléphone fixe ne sont également pas acceptés.
3. Le numéro est déjà utilisé pour un autre compte
Il est interdit d’avoir plusieurs comptes sur Vinted, ainsi, chaque numéro de téléphone ne peut être utilisé que pour un seul compte.
Pour résoudre ce problème:
Supprime ton ancien compteClique surContacter le supportci-dessousContacte nous afin que nous puissions te renvoyer une demande de vérification de ton numéro de téléphone (Envoie nous ta demande en indiquant ton numéro de téléphone avec l’indicatif du pays correspondant.)
4. Tu as déjà vérifié un autre numéro de téléphone
Tu n’es pas un nouveau membre ? Il est possible que tu aies vérifié un autre numéro de téléphone sur ton compte.
Pour vérifier ton nouveau numéro de téléphone, clique sur le boutonContacte le supportci-dessous et explique nous la situation, en incluant dans ton message :
Le nouveau numéro de téléphoneque tu souhaites vérifier (avec l’indicatif du pays)Le numéro de téléphone précédent, si tu t’en souviens (avec l’indicatif du pays)
5. Des problèmes techniques ou de connexion
Suis les étapes ci-dessous, pour t’assurer que tu n’as aucun problème avec ta connexion ou ton appareil :
Redemande un code de vérification après 15 minutes si tu ne l’as pas reçu après ta première demande.Vérifie que ton téléphone est bien connecté à ton réseau téléphonique et à internet.Vérifie qu’il reste assez de mémoire à ton téléphone pour recevoir un nouveau SMS.Essaie de redémarrer ton téléphone et de réinsérer ta carte SIM.
6. Aucun des problèmes ci-dessus ne correspond
Si ton problème persiste, clique sur le boutonContacte le supportci-dessous et envoie-nous:
Une capture d’écran du message d’erreur que tu as reçuTon numéro de téléphone avec l’indicatif du pays
Nous vérifierons la situation.
A noter :Ton numéro de téléphone ne sera pas partagé à des tiers, et nous ne l’utiliserons à aucune autre fin que cette vérification.";Confiance et sécurité Vérification d’identité
Confiance et sécurité Vérification d’identité Comment changer mon adresse e-mail ?;"Comment changer mon adresse e-mail ?
Pour changer ton adresse email :Clique sur ton profil et sélectionneMes paramètresModifie ton adresse e-mail en cliquant sur le boutonChangerClique surEnvoyer un email de confirmationOuvre le message que tu auras reçu sur ton adresse e-mail actuelle et appuie surChanger d’emailEntre ta nouvelle adresse e-mail en cliquant surChangerTu recevras ensuite un message de confirmation sur ta nouvelle adresse e-mail. Ouvre-le et appuie surConfirmer cette adresse e-mail. C’est fait !*Remarque : Si tu n'as pas accès à l’adresse e-mail avec laquelle tu es actuellement inscrit,envoie-nous une preuve de la propriété de ton compte Vinted . Nous t’aiderons à effectuer les changements.Bon à savoirLes messages de confirmation que nous t’envoyons risquent de se retrouver dans les dossiers Spam ou Courrier indésirable de ton adresse e-mail. Pense donc à les vérifier également.";Confiance et sécurité Vérification d’identité
Confiance et sécurité Vérification d’identité Comment faire vérifier mon compte avec Google/Facebook ?;"Comment faire vérifier mon compte avec Google/Facebook ?
Associe tes comptes Google et/ou Facebook pour faire vérifier ton profil Vinted. Ces vérifications boostent tes ventes et facilitent tes achats. Elles seront visibles aux autres membres, sur ton profil.Comment ?Clique surMes paramètres dans ton profilPuis dans lesDétails du profilClique ensuite sur les boutonsAjouter, à côté de Google ou Facebook et suis les différentes étapes.Bon à savoir :Nous ne postons rien sur tes comptes Google ou FacebookIl est possible que nous te demandions de faire vérifier ton compte à tout moment, quand tu seras sur le site.";Confiance et sécurité Vérification d’identité
Confiance et sécurité Règles du Catalogue Quelle est la politique d'authenticité de Vinted ?;"Quelle est la politique d'authenticité de Vinted ?
Vinted a une politique de tolérance zéro en matière de contrefaçons, car cela enfreint nos Règles d’utilisation du site ainsi que les lois en vigueur concernant la propriété intellectuelle. Tous les articles de grandes marques doivent comporter une preuve d'authenticité dans l'annonce. Si ce n'est pas le cas, ces articles peuvent être masqués. Nous sommes également en mesure de demander une preuve d'authenticité, surtout dans le cas de marques particulièrement exposées au marché de la contrefaçon.
Les articles que nous soupçonnerons d'être des produits de contrefaçon seront masqués, et nous demanderons des preuves de leur authenticité. Tu peux les fournir en ajoutant ces preuves* d’authenticité dans ton annonce.Les articles qui se révèlent être des imitations de produits authentiques seront définitivement supprimés même si le vendeur n'était pas conscient qu'il s'agissait de produits contrefaits.La mise en vente intentionnelle de contrefaçons est strictement interdite. Les annonces en questions seront supprimées et les vendeurs bloqués, sans avertissement préalable.Les membres enfreignant de manière répétée et intentionnelle la politique d’authenticité de Vinted seront définitivement bloqués sans possibilité de déblocage, ni de création d'un nouveau profil sur Vinted.
Nous considérons comme preuves d'authenticité recevables les éléments suivants :
L'étiquette de l’article faisant apparaître, entre autres, le logo de la marqueLes motifs ou coutures typiques de la marqueLe numéro de série identifiant l’articleL'emballage d’origineLa facture d’achatLe certificat d’authenticité de l’article (si ton article est un article de luxe)Tout autre élément pertinent permettant d’établir l’authenticité de ton article et prouvant que sa mise en ligne n’enfreint pas nos Termes et conditions, ni les droits de propriété d’un tiers.
Bon à savoir :
Si tu remarques un article qui ne semble pas être authentique, n’hésite pas à lesignaler à notre équipe .Seule la marque à laquelle appartient effectivement ton produit peut être indiquée dans ton annonce, toute mention d'une autre marque s'apparente à une violation de la propriété intellectuelle, et nous nous réservons le droit de supprimer ainsi toute annonce faisant mention d'une autre marque que celle de l'article.Vérifie toujours que l’article que tu mets en vente n’est pas un produit contrefait.";Confiance et sécurité Règles du Catalogue
Confiance et sécurité Règles du Catalogue Qu'est-ce que je peux vendre sur Vinted ?;"Qu'est-ce que je peux vendre sur Vinted ?
Voici les articles que tu peux vendre sur Vinted :
Vêtements pour femme, homme et enfant, des chaussures et accessoiresJouets pour enfants, meubles et articles de puéricultureProduits cosmétiques, parfums et produits de beauté neufsAccessoires de beautéAccessoires technologiques tels que les casques audio, écouteurs, montres connectées, étuis pour téléphones et autres articles similairesObjets pour la maison, tels que les bougies, encadrements, coussins décoratifs, textile de table, plaidsLivres pour adultes, enfants et adolescents
Ce que je ne peux pas vendre sur Vinted
Les articles suivants ne peuvent pas être vendus sur Vinted :
1. Les articles interdits ou limités par la loi :
Articles contrefaits, ou imitations d'articles de marqueÉchantillons, testeurs ou articles promotionnels reçus gratuitement, y compris les articles provenant de « Boîtes à Beauté »Médicaments, vitamines, compléments alimentairesNourriture et boissonsDrogues, produits de tabac tels que cigarettes, cigares, pipes, cigarettes électroniques, vapes, ou autres instruments et accessoires de vaporisationUniformes ou accessoires fascistes ou nazis
2. Les articles qui ne sont pas conformes aux normes d’hygiène ou qui présentent un risque pour ta santé ou ta sécurité :
Les sous-vêtements et la lingerie déjà portés, incluant les slips, les strings, les tangas, les boxers, les caleçons, les culottes, les bodies portés comme lingerie, et les ensembles de lingerie comportant un bas. Cependant, ces articles sont autorisés à la vente, s’ils sont neufs avec étiquettes. Il est alors important de montrer clairement les étiquettes du fabricant encore accrochées à ces articles sur les photos. Les soutiens-gorge, collants et maillots de bain déjà portés peuvent être vendus, à condition qu’ils soient lavés correctement avant l’envoi, et que leur état soit clairement spécifié dans l’annonceTous les produits cosmétiques, les parfums (y compris les produits de maquillage, les crèmes, les lotions, les produits capillaires) déjà utilisés ou qui ne sont pas dans leur emballage d'origine scellé. Cette restriction s’applique peu importe que le produit ait été ou non en contact direct avec le corps humain. Les produits cosmétiques même brièvement essayés sur la peau sont également considérés comme utilisésEponges, pinceaux de maquillage ou applicateurs utilisés en contact direct avec le corps humainProduits de beauté faits maisonServiettes de toilettes, toilettes, housses de couette, draps, taies d’oreiller et parures de lit déjà utilisésLentilles de contact (y compris les produits d'entretien et les étuis de lentilles de contact)Dissolvants à onglesRasoirsProduits de coloration capillaireProduits d'hygiènes feminine tels que tampons, coupes menstruelles et articles similairesPiercings de langue, sourcils, nez, lèvre déjà utilisés
3. Les articles qui ne sont pas des vêtements, qui n’ont rien à voir avec la mode, la beauté, les accessoires, les enfants, la décoration, ou qui ne correspondent tout simplement pas à la vision de Vinted :
La fourrure animale et ses produits dérivés, les articles comportant de la peau de reptile, de la carapace, ou de l’ivoire. À noter : la laine de mouton est autoriséeLes objets high-techet l’électroménagertels que les téléphones, les ordinateurs, les appareils photo, les batteries portables, les câbles, les chargeurs, leslave-linge, lave-vaisselle, fers à repasser, aspirateurs, etc. Sont autorisés les appareils de beauté et de coiffure, ainsi que les accessoires électroniques comme les casques, les montres connectées, les housses et coques pour téléphones, et objets similairesÉquipements de sport pour adultes tels que vélos, skis, snowboards,tapis de yoga, poids et articles similairesMeubles autres que pour enfants, outils de jardinage tels que les tondeuses à gazon, décoration de jardin tels que les pots de fleurs, etcMatelas et oreillers. A noter: Les coussins décoratifs sont autorisésBoîtes de conservation, ustensiles et appareils de cuisine, couteaux de cuisine, poêles, casseroles, cafetières et autres appareils de cuisineJournaux et articles de papeterie pour adultes, tels que les carnets de notes et journaux intimesCatalogues de vente et produits commandés sur demande, services professionnels ou toute autre publicité favorisant les activités commercialesPochettes de protection vides, boîtes en carton, boîtes cadeau, sacs d’emballage de magasins et boutiques, cartons de déménagementBoîtes ou lots de surprisesTableaux, dessins, photos, et autres œuvres d’art protégées par des droits d’auteursCalendriers de l’AventArticles à connotation sexuelle comme les jouets sexuels et les articles liés au fétichismeAnimaux, accessoires et vêtements pour animauxLes places de spectacle, cartes-cadeaux et bons de réduction
Tous les articles mentionnés ci-dessus, ainsi que les articles similaires qui ne sont pas inclus dans nos catégories agréées, seront supprimés ou cachés du catalogue par notre équipe. Pour plus d’informations, consulte lesRègles de notre Catalogue.
Il est important de noter que si tu utilises une fonction payante sur un article ou un dressing qui enfreint nos règles, tu ne seras pas remboursé du coût de la fonction lorsque ton article ou ton dressing seront supprimés ou cachés. Le terme « fonction payante » comprend les « Boosts » et les « Dressing en Vitrine ».";Confiance et sécurité Règles du Catalogue
Confiance et sécurité Règles du Catalogue Pourquoi mon article a-t-il été masqué ou supprimé ?;"Pourquoi mon article a-t-il été masqué ou supprimé ?
Chez Vinted, nous prenons la qualité des contenus très au sérieux. Les annonces qui ne respectent pas lesrègles du catalogue seront masquées ou supprimées.
L'annonce sera masquée si :  : Elle ne comporte pas de preuve d’authenticité de l’article
------
L'annonce sera masquée si :  : Plusieurs marques sont citées dans la même annonce
------
L'annonce sera masquée si :  : Le prix, la taille, les hashtags ou l'état de l'article sont trompeurs
------
L'annonce sera masquée si :  : La description fait la publicité d'une autre plateforme
------
L'annonce sera masquée si :  : L'article est listé dans la mauvaise catégorie
------
L'annonce sera masquée si :  : Il y a des filigranes sur la photo de l'article
------
L'annonce sera masquée si :  : L'article est vendu à des fins commerciales
------
L'annonce sera supprimée si :  : L'article est une imitation ou une contrefaçon
------
L'annonce sera supprimée si :  : Les photos proviennent d'un autre site internet, d'une banque d'images
------
L'annonce sera supprimée si :  : L’article est composé de fourrure animale, ou d’éléments comportant de la peau de reptile, de la carapace, ou de l’ivoire
------
L'annonce sera supprimée si :  : L'article n'est pas autorisé à la vente sur Vinted
------
L'annonce sera supprimée si :  : L'article est un produit cosmétique ou un parfum déjà utilisé / essayé ou qui n’est pas dans son emballage d'origine fermé. Cette restriction s’applique aux produits de maquillage, aux parfums, aux crèmes, aux lotions, et aux produits capillaires
------
L'annonce sera supprimée si :  : L'annonce de l'article comporte une mise aux enchères ou une recherche d’article
------
Bon à savoir :
Quand un de tes articles sera masqué ou supprimé, nous t’informerons de la raison.Si ton article est masqué, tu peux mettre à jour ton annonce et ladémasquer .Si tu enfreins à plusieurs reprisesles règles du catalogue , ton compte sera bloqué.Si tu ne respectes pasles règles d’authenticité de Vinted à plusieurs reprises, ton compte sera bloqué de manière permanente.Vérifie ce que tu peux vendre sur Vintedici .";Confiance et sécurité Règles du Catalogue
Confiance et sécurité Règles du Forum et de la Communauté Vinted Règles du forum;"Règles du forum
Le forum est un lieu dédié aux discussions, encouragements et entraide. Nous demandons donc aux membres du forum de suivre ces règles :
Sélectionne la bonne catégorie du forum pour ton post et choisis un titre clair.Les publicités ou toutes offres de promotion doivent être soumises dans la catégoriePublicités. Dans le cas contraire, ces posts pourront être effacés.Les accusations, intimidations, insultes, spams, trolls, et harcèlements ne seront pas tolérés.Ne divulgue pas d’informations d’ordre privé (par ex : numéro de téléphone, adresses postales, coordonnées bancaires, identifiants de membres avec qui tu as eu des problèmes, etc.)Sont strictement interdits : les posts violents, haineux, racistes, extrêmes, choquants, sexistes, discriminatoires, pornographiques, ou sexuels, ainsi que les messages encourageant les actes illégaux, immoraux ou inhumaines, les messages encourageant l’usage de drogues ou contenants des liens renvoyant sur des pages comportant des contenus similaires à ce qui est mentionné ci-dessus.Rappelle-toi que les avis médicaux ou légaux postés sur le forum ne sont pas vérifiés. Dans ce type de situations, nous t’encourageons à contacter un professionnel.
Tu peux retrouver dans notreCharte du Forum les règles du forum détaillées.
Bon à savoir :
Si tu enfreins ces règles de manière répétée, nous serons contraints de bloquer ton accès au forum.";Confiance et sécurité Règles du Forum et de la Communauté Vinted
Confiance et sécurité Règles du Forum et de la Communauté Vinted Standards de la communauté Vinted;"Standards de la communauté Vinted
Nous souhaitons que Vinted soit ouvert à tous et soit une communauté où nos membres se sentent en sécurité.
C’est pourquoi les conversations que nous avons, par messages privés, commentaires laissés sous les articles ou sur le forum, doivent toujours rester respectueuses. Bien que l’équipe ne contrôle pas ces conversations, l’équipe Vinted se réserve le droit d’agir si des contenus nous sont signalés.
Les contenus qui seront jugés indécents, haineux, ou illégaux seront supprimés par Vinted, conformément à nos Termes et Conditions.
Pour toujours plus de sécurité, nous te recommandons de ne pas divulguer d’informations privées tel que tes noms complets, adresses, numéros de téléphone ou informations bancaires sur le forum, les commentaires d’articles ou évaluations.
Vinted est un lieu pensé pour partager des idées ou différents points de vue, sans haine. Si tu ne te sens pas en sécurité ou si tu observes quelque chose qui ne devrait pas être sur Vinted, pense à le signaler à notre équipe.";Confiance et sécurité Règles du Forum et de la Communauté Vinted
Confiance et sécurité Règles du Forum et de la Communauté Vinted Pourquoi mon sujet/commentaire a-t-il été supprimé ?;"Pourquoi mon sujet/commentaire a-t-il été supprimé ?
Nous souhaitons que tous nos membres se sentent en sécurité/bienvenus sur Vinted. Certains posts ou commentaires peuvent être supprimés du forum s’ils :
Sont hors sujet, dans le but de troller/spammerDivulguent des publicités commerciales dans la mauvaise catégorieContiennent des contenus illégaux, immoraux, inhumains, blessants, offensants ou s’ils sont contraires auxrègles de la communautéDivulguent des informations privées ou copies d’écran de conversation avec un autre membreContient des questions demandant de l’aide légale, médicale ou qui requièrent l'aide d'un professionnel
Bon à savoir :
Si tu enfreins à plusieurs reprises les règles de forum, nous serons contraints de bloquer ton compte de manière définitive.";Confiance et sécurité Règles du Forum et de la Communauté Vinted
Confiance et sécurité Règles du Forum et de la Communauté Vinted Comment signaler un contenu inapproprié sur le forum?;"Comment signaler un contenu inapproprié sur le forum?
Si un sujet ou un post du forum est inapproprié, contraire auxrègles du forum , ou semble porter atteinte à la communauté Vinted, signale-le à notre équipe.Comment ça marche :Rends-toi sur le sujet ou le post du forum.Clique sur le drapeau en bas à droite du post.Sélectionne la raison de ton signalement.Ton signalement sera traité dans les plus brefs délais.Bon à savoir :Si des informations supplémentaires sont nécessaires afin de traiter ton signalement, nous te contacterons directement.Si tu te sens attaqué ou mal à l’aise par rapport à des messages posté sur le forum par un autre membre, tu as la possibilité debloquer ce membre . Tu ne verras alors plus ses messages, ni ses sujets.";Confiance et sécurité Règles du Forum et de la Communauté Vinted
Mon compte & Paramètres Paramètres de mon catalogue Comment indiquer que mon article est réservé ?;"Comment indiquer que mon article est réservé ?
Si un membre souhaite t'acheter un article et te demande de le mettre de côté pendant quelques jours, tu as la possibilité d'indiquer que l'article lui est réservé.Le délai de chaque réservation est de 5 jours.Une fois indiqué comme réservé, ton article sera masqué du catalogue, du fil d'actu et de ton dressing. Seule le membre que tu auras sélectionné au moment de la réservation pourra le voir et l'acheter.Pour réserver un article :Rends-toi sur la page de ton article.Clique surIndiquer comme réservé et sélectionne l'acheteur concerné.Pour remettre l'article en ligne, clique surAnnuler la réservation.";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Paramètres de mon catalogue Comment remonter mes articles en haut  du catalogue ?;"Comment remonter mes articles en haut  du catalogue ?
Le Boost est une fonctionnalité payante qui garantie plus de visibilité à l’article de ton choix, et te permet de le vendre plus rapidement.
Lorsque tu boostes ton article, il est affiché en haut du catalogue, ainsi que du fil d’actu et/ou des résultats de recherche des membres de Vinted (une fois par jour, pour une durée de 3 ou 7 jours consécutifs).
Ce que permet le Boost
Le Boost te permet :
D’obtenir une position de choix pour tes articles.Le nombre de Boosts disponibles par semaine est limité. Cela assure une bonne visibilité à chaque article boosté.D’atteindre les membres potentiellement intéressés.La visibilité de l’article boosté dépend de critères sur mesure, comme par exemple, des marques suivies par un membre donné. Cela veut dire que si tu ne vois pas ton propre article en haut de ton fil d’actu, d’autres le verront.De vérifier les statistiques hebdomadaires de ton annonce.Elles t’indiquent exactement combien de personnes ont vu ton article et ont interagi avec.
Afin de pouvoir profiter pleinement des Boosts, ne les utilise que sur tes annonces respectant nosRègles du Catalogue. Mets d’abord les photos et la description de ton article à jour, et lorsque tout est prêt, clique surBoosterpour commencer.
Rends toi ici pour savoircomment acheter un Boost.";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Paramètres de mon catalogue Comment masquer mes articles ?;"Comment masquer mes articles ?
Pour masquer/supprimer un article :Rends-toi surMes articlesClique sur l'article que tu souhaites masquer/supprimerClique surMasquer ouSupprimerSi tu as masqué ton article, il ne sera pas visible dans le fil d'actu, le catalogue et ton dressing.Pour masquer tous tes articles : active lemode v acances .Bon à savoir :Si un article reste masqué pendant plus de 90 jours, il sera automatiquement supprimé du catalogue.Si tu restes inactif pendant un moment, tous tes articles seront masqués via le mode indisponible qui sera automatiquement activé sur ton catalogue. Tu peux facilement démasquer tes articles en te rendant dans tes paramètres.";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Paramètres de mon catalogue Est-ce que Vinted peut utiliser mes photos ?;"Est-ce que Vinted peut utiliser mes photos ?
Vinted ne peut utiliser tes photos que si tu nous en donnes la permission.
Tu peux modifier ce paramètre depuis notresite web :
Clique sur ta photo de profilRends-toi dansMes préférencesClique surParamètres de confidentialitéActive ou désactive le boutonAutorises-tu Vinted à utiliser tes photos à des fins commerciales ?
Est-ce que les autres membres peuvent utiliser mes photos pour remettre en ligne un article que je leur ai vendu ? Nous vous encourageons à prendre et à utiliser vos propres photos. Toutefois, rien ne vous empêche de demander la permission au vendeur d'utiliser sa photo !";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Paramètres de mon catalogue Le mode vacances;"Le mode vacances
Si tu pars en vacances et ne pourras pas envoyer des articles que tu vends, tu peux utiliser le mode indisponible. Ce mode masquera tous tes articles pendant ton absence.Voilà comment :Clique sur ta photo de profilPuis surMes paramètresClique sur le bouton à côté deMode VacancesEnregistre ces modifications en cliquant surMettre à jourBon à savoir :N’oublie pas de désactiver le mode vacances dans un délai de 90 jours. Les articles qui auront été masqués pendant plus de 90 jours seront définitivement supprimés. Si tu es dans ce cas, nous t’enverrons un rappel avant que tes articles ne soient supprimés.";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Paramètres de mon catalogue Pourquoi mon article a-t-il été masqué ou supprimé ?;"Pourquoi mon article a-t-il été masqué ou supprimé ?
Chez Vinted, nous prenons la qualité des contenus très au sérieux. Les annonces qui ne respectent pas lesrègles du catalogue seront masquées ou supprimées.
L'annonce sera masquée si :  : Elle ne comporte pas de preuve d’authenticité de l’article
------
L'annonce sera masquée si :  : Plusieurs marques sont citées dans la même annonce
------
L'annonce sera masquée si :  : Le prix, la taille, les hashtags ou l'état de l'article sont trompeurs
------
L'annonce sera masquée si :  : La description fait la publicité d'une autre plateforme
------
L'annonce sera masquée si :  : L'article est listé dans la mauvaise catégorie
------
L'annonce sera masquée si :  : Il y a des filigranes sur la photo de l'article
------
L'annonce sera masquée si :  : L'article est vendu à des fins commerciales
------
L'annonce sera supprimée si :  : L'article est une imitation ou une contrefaçon
------
L'annonce sera supprimée si :  : Les photos proviennent d'un autre site internet, d'une banque d'images
------
L'annonce sera supprimée si :  : L’article est composé de fourrure animale, ou d’éléments comportant de la peau de reptile, de la carapace, ou de l’ivoire
------
L'annonce sera supprimée si :  : L'article n'est pas autorisé à la vente sur Vinted
------
L'annonce sera supprimée si :  : L'article est un produit cosmétique ou un parfum déjà utilisé / essayé ou qui n’est pas dans son emballage d'origine fermé. Cette restriction s’applique aux produits de maquillage, aux parfums, aux crèmes, aux lotions, et aux produits capillaires
------
L'annonce sera supprimée si :  : L'annonce de l'article comporte une mise aux enchères ou une recherche d’article
------
Bon à savoir :
Quand un de tes articles sera masqué ou supprimé, nous t’informerons de la raison.Si ton article est masqué, tu peux mettre à jour ton annonce et ladémasquer .Si tu enfreins à plusieurs reprisesles règles du catalogue , ton compte sera bloqué.Si tu ne respectes pasles règles d’authenticité de Vinted à plusieurs reprises, ton compte sera bloqué de manière permanente.Vérifie ce que tu peux vendre sur Vintedici .";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Paramètres de mon catalogue Comment paramétrer des réductions sur mon catalogue ?;"Comment paramétrer des réductions sur mon catalogue ?
Tu peux paramétrer des réductions pour les acheteurs qui souhaitent acheter plusieurs articles dans ton dressing. Tu peux proposer des réductions en ordre croissant, en commençant par la quantité d’articles que tu souhaites.Plus la réduction est importante, plus il y aura d’acheteurs intéressés par l’achat de plusieurs de tes articles.Pour paramétrer tes réductions :Rends-toi surMes paramètresClique surTes réductions dans la colonne de gaucheIndique, à l’aide du menu déroulant, les réductions que tu souhaites proposer à tes acheteursBon à savoir :Si tu ne veux pas proposer de réductions à tes acheteurs, désactive la fonctionTes réductionsTu peux proposer les mêmes réductions, pour différentes quantités d’articlesSi tu ne veux pas proposer de réduction pour un certain nombre d’articles, clique simplement sur « - » dans le menu déroulant.";Mon compte & Paramètres Paramètres de mon catalogue
Mon compte & Paramètres Détails du profil Comment remplir/modifier les informations de mon profil ?;"Comment remplir/modifier les informations de mon profil ?
Tu peux facilement ajouter et modifier les informations de ton profil en cliquant sur l’icône en bas à droite, puis en allant sur ton profil, enfin en cliquant sur les 3 petits points.Clique sur l’icône en bas à droitePuis sur ton profil (là où ta photo et ton pseudo apparaissent)Clique sur les 3 pointsSélectionneModifier mon profilTu peux alors ajouter ou modifier tes informationsClique surEnregistrer pour sauvegarder tes modifications";Mon compte & Paramètres Détails du profil
